k1,k2,a_uni,U,TMI,adv_over_U
13,5,0.4064,0.4342,0.3007,-0.0277
13,6,0.4426,0.4303,0.3007,0.0123
13,7,0.4525,0.4381,0.3007,0.0144
13,8,0.469,0.4546,0.3007,0.0144
13,9,0.469,0.4773,0.3007,-0.0083
13,10,0.4485,0.4568,0.3007,-0.0083
13,11,0.4485,0.4568,0.3007,-0.0083
13,12,0.4338,0.4381,0.3007,-0.0043
13,13,0.4338,0.4381,0.3007,-0.0043
13,14,0.4338,0.4381,0.3007,-0.0043
13,15,0.4338,0.4381,0.3007,-0.0043
14,1,0.2736,0.2739,0.3007,-0.0003
14,2,0.4044,0.4005,0.3007,0.0038
14,3,0.4209,0.403,0.3007,0.0179
14,4,0.3992,0.442,0.3007,-0.0428
14,5,0.4064,0.4342,0.3007,-0.0277
14,6,0.4426,0.4303,0.3007,0.0123
14,7,0.4525,0.4381,0.3007,0.0144
14,8,0.469,0.4546,0.3007,0.0144
14,9,0.469,0.4773,0.3007,-0.0083
14,10,0.4485,0.4568,0.3007,-0.0083
14,11,0.4485,0.4568,0.3007,-0.0083
14,12,0.4338,0.4381,0.3007,-0.0043
14,13,0.4338,0.4381,0.3007,-0.0043
14,14,0.4338,0.4381,0.3007,-0.0043
14,15,0.4338,0.4381,0.3007,-0.0043
15,1,0.2736,0.2739,0.3007,-0.0003
15,2,0.4044,0.4005,0.3007,0.0038
15,3,0.4209,0.403,0.3007,0.0179
15,4,0.3992,0.442,0.3007,-0.0428
15,5,0.4064,0.4342,0.3007,-0.0277
15,6,0.4426,0.4303,0.3007,0.0123
15,7,0.4525,0.4381,0.3007,0.0144
15,8,0.469,0.4546,0.3007,0.0144
15,9,0.469,0.4773,0.3007,-0.0083
15,10,0.4485,0.4568,0.3007,-0.0083
15,11,0.4485,0.4568,0.3007,-0.0083
15,12,0.4338,0.4381,0.3007,-0.0043
15,13,0.4338,0.4381,0.3007,-0.0043
15,14,0.4408,0.4381,0.3007,0.0027
15,15,0.4338,0.4381,0.3007,-0.0043
