rank,window_row,distance,is_paper_top20,is_paper_top250
198,4816,4.006597539463525,False,False
199,73,4.007438148556067,False,True
200,1022,4.009200357168383,False,False
201,4752,4.0099572438604545,False,False
202,2546,4.01176269358521,False,False
203,2009,4.013228843956762,False,True
204,925,4.013330693859569,False,False
205,2512,4.01532275406188,False,False
206,407,4.016189607833965,False,False
207,4743,4.01778249257189,False,True
208,7214,4.0186143549544555,False,False
209,2829,4.021225915838029,False,False
210,5927,4.023121804137885,False,False
211,6956,4.031211418256326,False,True
212,1137,4.03554561493935,False,True
213,6405,4.036989832401746,False,True
214,1518,4.037564676858763,False,True
215,6173,4.037602520252423,False,False
216,3301,4.040498408792206,False,False
217,9,4.042375920057677,False,True
218,2272,4.04330853366678,False,False
219,4268,4.043842999761088,False,True
220,3469,4.044087213721133,False,True
221,1525,4.045663517766395,False,False
222,7129,4.0483851625501925,False,False
223,1352,4.052449226708946,False,False
224,1081,4.054197195193411,False,False
225,1838,4.055857545208456,False,False
226,4587,4.05609185359861,False,True
227,8339,4.057971200943456,False,False
228,716,4.061843708585616,False,True
229,5541,4.0657692530683835,False,False
230,13081,4.067542249929578,False,False
231,2235,4.070267512219314,False,False
232,11937,4.072419419345366,False,False
233,2440,4.074313015207744,False,True
234,8385,4.0759199049042705,False,False
235,5002,4.076142638744847,False,False
236,5359,4.076963484549171,False,False
237,1538,4.0795888100967,False,True
238,686,4.081037241708834,False,False
239,6607,4.081091914188889,False,False
240,1861,4.081932024500045,False,True
241,9647,4.084156014830832,False,False
242,6900,4.085874165339827,False,True
243,4453,4.087097829029235,False,False
244,5321,4.088237071224253,False,True
245,7269,4.088576496199473,False,True
246,7573,4.0890161554371085,False,False
247,1063,4.090746812757722,False,False
248,9478,4.095469164196629,False,True
249,5181,4.096208577532255,False,True
250,8216,4.096291302580413,False,False
